               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.013977,           0.0043627,          0.00096209,             0.99796,                   1,               0.995,             0.87722,            0.011506,           0.0022083,          0.00062611,            0.001783,            0.001783,            0.001783
                  85,            0.013235,           0.0044199,           0.0010677,              0.9977,                   1,               0.995,               0.879,            0.011229,           0.0021751,          0.00062014,            0.001684,            0.001684,            0.001684
                  86,            0.013814,           0.0044966,          0.00088309,              0.9977,                   1,               0.995,             0.87696,            0.011396,           0.0021454,          0.00059449,            0.001585,            0.001585,            0.001585
                  87,             0.01341,           0.0043859,          0.00083775,             0.99782,                   1,               0.995,             0.88114,            0.011017,           0.0021172,          0.00057884,            0.001486,            0.001486,            0.001486
                  88,            0.013698,           0.0043374,          0.00091545,             0.99793,                   1,               0.995,             0.88336,            0.010931,           0.0020978,          0.00056004,            0.001387,            0.001387,            0.001387
                  89,            0.013202,           0.0045427,          0.00076433,             0.99799,                   1,               0.995,             0.88077,            0.011124,           0.0021029,          0.00055248,            0.001288,            0.001288,            0.001288
                  90,            0.013924,           0.0041996,           0.0010675,             0.99766,                   1,               0.995,              0.8823,            0.010991,            0.002119,          0.00054012,            0.001189,            0.001189,            0.001189
                  91,            0.013559,           0.0043749,              0.0012,             0.99771,                   1,               0.995,             0.87574,            0.011123,           0.0021171,          0.00052033,             0.00109,             0.00109,             0.00109
                  92,            0.013261,           0.0043779,           0.0011874,             0.99781,                   1,               0.995,             0.88078,            0.011155,           0.0021351,          0.00051277,            0.000991,            0.000991,            0.000991
                  93,            0.013343,           0.0043257,          0.00091354,             0.99776,                   1,               0.995,             0.88165,            0.011175,           0.0020998,          0.00050189,            0.000892,            0.000892,            0.000892
                  94,            0.012875,           0.0044607,           0.0010689,              0.9978,                   1,               0.995,             0.87553,            0.011205,           0.0021246,           0.0004812,            0.000793,            0.000793,            0.000793
                  95,            0.012229,           0.0039793,          0.00072667,             0.99795,                   1,               0.995,             0.89031,            0.010597,           0.0020738,           0.0004666,            0.000694,            0.000694,            0.000694
                  96,            0.012821,           0.0046978,          0.00085407,             0.99784,                   1,               0.995,             0.88831,            0.010542,           0.0020627,          0.00045952,            0.000595,            0.000595,            0.000595
                  97,            0.012089,           0.0041529,           0.0008446,             0.99798,                   1,               0.995,              0.8908,            0.010745,           0.0020612,           0.0004476,            0.000496,            0.000496,            0.000496
                  98,            0.012806,           0.0046115,          0.00084107,             0.99789,                   1,               0.995,             0.89126,             0.01045,           0.0020664,           0.0004363,            0.000397,            0.000397,            0.000397
                  99,            0.013226,           0.0045702,          0.00097967,             0.99784,                   1,               0.995,             0.89086,            0.010778,           0.0020818,          0.00042877,            0.000298,            0.000298,            0.000298
